Ca,z_over_lgamma
5.858902e-03,0.879690
6.665749e-03,0.916411
7.618352e-03,0.967447
8.628422e-03,1.023144
9.448817e-03,1.082453
9.907336e-03,1.116882
1.062192e-02,1.228382
1.065720e-02,1.333870
1.053363e-02,1.426394
