s,h,theta,w,x
5.370907461116482089e-04,6.370795433084655221e-04,1.561050516054130144e+00,-1.040864389397099288e+01,3.123561158689628779e-06
5.463509313894352208e-04,6.463392844735540944e-04,1.560954704377572888e+00,-1.028510580854956125e+01,3.213807743199670516e-06
5.556111166672222327e-04,6.555990169589243728e-04,1.560860023043838973e+00,-1.016449645186980355e+01,3.304941519036053802e-06
5.648713019450092446e-04,6.648587407838351488e-04,1.560766445419068837e+00,-1.004671155509535474e+01,3.396952018694978306e-06
5.741314872227962565e-04,6.741184559680257326e-04,1.560673945811807961e+00,-9.931651797339966947e+00,3.489829021316251773e-06
5.833916725005833769e-04,6.833781625316780054e-04,1.560582499428560865e+00,-9.819222512574379280e+00,3.583562543956177856e-06
5.926518577783703888e-04,6.926378604953820507e-04,1.560492082331963015e+00,-9.709333417319060189e+00,3.678142833272025305e-06
6.019120430561574007e-04,7.018975498801035195e-04,1.560402671401384334e+00,-9.601898357408426676e+00,3.773560357593852094e-06
6.111722283339445210e-04,7.111572307071537067e-04,1.560314244295794683e+00,-9.496835072273109191e+00,3.869805799361147911e-06
6.204324136117315329e-04,7.204169029981598435e-04,1.560226779418737442e+00,-9.394064975330909562e+00,3.966870047903355936e-06
6.296925988895185448e-04,7.296765667750396188e-04,1.560140255885267502e+00,-9.293512949206117923e+00,4.064744192544762914e-06
6.389527841673055568e-04,7.389362220599755924e-04,1.560054653490719812e+00,-9.195107154612747635e+00,4.163419516015548864e-06
6.482129694450925687e-04,7.481958688753915588e-04,1.559969952681189875e+00,-9.098778851841373694e+00,4.262887488152055772e-06
6.574731547228796890e-04,7.574555072439308635e-04,1.559886134525612755e+00,-9.004462233882843947e+00,4.363139759870419221e-06
6.667333400006667009e-04,7.667151371884352610e-04,1.559803180689335989e+00,-8.912094270306688770e+00,4.464168157398757670e-06
6.759935252784537128e-04,7.759747587319261583e-04,1.559721073409092718e+00,-8.821614561088061635e+00,4.565964676754095823e-06
6.852537105562407247e-04,7.852343718975859661e-04,1.559639795469283774e+00,-8.732965199645956744e+00,4.668521478451037897e-06
6.945138958340277367e-04,7.944939767087410773e-04,1.559559330179490111e+00,-8.646090644417594007e+00,4.771830882430085000e-06
7.037740811118147486e-04,8.037535731888458207e-04,1.559479661353134761e+00,-8.560937598350220057e+00,4.875885363194195573e-06
7.130342663896017605e-04,8.130131613614676074e-04,1.559400773287229258e+00,-8.477454895742653207e+00,4.980677545142946746e-06
7.222944516673888808e-04,8.222727412502726192e-04,1.559322650743132366e+00,-8.395593395915215140e+00,5.086200198094253360e-06
7.315546369451760012e-04,8.315323128790122562e-04,1.559245278928267364e+00,-8.315305883228857553e+00,5.192446232984264601e-06
7.408148222229630131e-04,8.407918762715108855e-04,1.559168643478735294e+00,-8.236546973012517370e+00,5.299408697736573210e-06
7.593351927785371453e-04,8.593109784433768409e-04,1.559017526265627840e+00,-8.083442049053637390e+00,5.514752848848301135e-06
7.778555633341111691e-04,8.778300479575002922e-04,1.558869192156494332e+00,-7.935948926698226380e+00,5.732895555077232318e-06
7.963759338896851930e-04,8.963490850059956843e-04,1.558723540083793324e+00,-7.793762038668611503e+00,5.953785270991934661e-06
8.148963044452593252e-04,9.148680897811805332e-04,1.558580474432778251e+00,-7.656597765930858834e+00,6.177372323044282044e-06
8.334166750008334575e-04,9.333870624753243250e-04,1.558439904653388552e+00,-7.524192489123096017e+00,6.403608808577754142e-06
8.519370455564075897e-04,9.519060032804274466e-04,1.558301744906290143e+00,-7.396300845177339767e+00,6.632448502023902622e-06
8.704574161119816135e-04,9.704249123880265716e-04,1.558165913739496977e+00,-7.272694164224716040e+00,6.863846767654488132e-06
8.889777866675556374e-04,9.889437899890227059e-04,1.558032333792440882e+00,-7.153159065288174467e+00,7.097760478322924572e-06
9.074981572231297696e-04,1.007462636273531026e-03,1.557900931524725197e+00,-7.037496192160973330e+00,7.334147939686636406e-06
9.260185277787037934e-04,1.025981451430746979e-03,1.557771636967117956e+00,-6.925519073330412390e+00,7.572968819453182777e-06
9.445388983342778173e-04,1.044500235648831684e-03,1.557644383492621465e+00,-6.817053091905474815e+00,7.814184081238255793e-06
9.630592688898519495e-04,1.063018989114810232e-03,1.557519107605696007e+00,-6.711934553302728368e+00,8.057755922663695361e-06
9.815796394454260818e-04,1.081537712014482349e-03,1.557395748747927966e+00,-6.610009839985178104e+00,8.303647717359312840e-06
1.000100010001000106e-03,1.100056404532346504e-03,1.557274249118621334e+00,-6.511134643873607963e+00,8.551823960563949137e-06
1.013990287917680786e-03,1.113945404092901584e-03,1.557184311210605188e+00,-6.438897556976636238e+00,8.739643653678018530e-06
1.027880565834361250e-03,1.127834386743464378e-03,1.557095365629219241e+00,-6.368245054948247663e+00,8.928712494358415598e-06
1.041770843751041713e-03,1.141723352560307207e-03,1.557007390727223273e+00,-6.299125245124923111e+00,9.119016698676906028e-06
1.055661121667722394e-03,1.155612301619228597e-03,1.556920365562385999e+00,-6.231488487886780447e+00,9.310542783403305341e-06
1.069551399584403074e-03,1.169501233995544820e-03,1.556834269867045650e+00,-6.165287275127733224e+00,9.503277556212283856e-06
1.083441677501083538e-03,1.183390149764081438e-03,1.556749084019299678e+00,-6.100476116541798888e+00,9.697208106313008806e-06
1.097331955417764002e-03,1.197279048999167232e-03,1.556664789015724581e+00,-6.037011433142956740e+00,9.892321795478990887e-06
1.111222233334444682e-03,1.211167931774627697e-03,1.556581366445528136e+00,-5.974851457485262252e+00,1.008860624945686455e-05
1.125112511251125363e-03,1.225056798163778968e-03,1.556498798466043221e+00,-5.913956140094522418e+00,1.028604934973420524e-05
1.139002789167805826e-03,1.238945648239424789e-03,1.556417067779480634e+00,-5.854287061663334235e+00,1.048463922564778438e-05
1.152893067084486290e-03,1.252834482073853254e-03,1.556336157610864745e+00,-5.795807350597978136e+00,1.068436424681473372e-05
1.166783345001166754e-03,1.266723299738832910e-03,1.556256051687078035e+00,-5.738481605539030639e+00,1.088521301587020171e-05
1.180673622917847217e-03,1.280612101305610801e-03,1.556176734216951685e+00,-5.682275822507887320e+00,1.108717436149609955e-05
1.194563900834527681e-03,1.294500886844911821e-03,1.556098189872335169e+00,-5.627157326359009559e+00,1.129023733172640521e-05
1.208454178751208145e-03,1.308389656426936325e-03,1.556020403770091765e+00,-5.573094706242861740e+00,1.149439118751543555e-05
1.222344456667888825e-03,1.322278410121360782e-03,1.555943361454963814e+00,-5.520057754807475625e+00,1.169962539655620840e-05
1.250125012501249969e-03,1.350055870123486896e-03,1.555791452407907283e+00,-5.416945704931696248e+00,1.211223385811741788e-05
1.277905568334611114e-03,1.377833267398220936e-03,1.555642355045038228e+00,-5.317601490314316948e+00,1.252906196717223973e-05
1.305686124167972258e-03,1.405610602484132525e-03,1.555495967559464177e+00,-5.221821332371622937e+00,1.295003161292245403e-05
1.333466680001333402e-03,1.433387875911482394e-03,1.555352193601011512e+00,-5.129415941728392880e+00,1.337506751292557318e-05
1.361247235834694546e-03,1.461165088202288735e-03,1.555210941891664866e+00,-5.040209248741283510e+00,1.380409706149749965e-05
1.389027791668055690e-03,1.488942239870406350e-03,1.555072125874406463e+00,-4.954037265588774552e+00,1.423705018879895934e-05
1.416808347501416834e-03,1.516719331421618588e-03,1.554935663392025713e+00,-4.870747064246498503e+00,1.467385922967781317e-05
1.444588903334777978e-03,1.544496363353740128e-03,1.554801476392868143e+00,-4.790195856772450078e+00,1.511445880143460650e-05
1.472369459168139123e-03,1.572273336156725619e-03,1.554669490660854247e+00,-4.712250166118656658e+00,1.555878568976294722e-05
1.500150015001500050e-03,1.600050250312785036e-03,1.554539635567394606e+00,-4.636785077215494155e+00,1.600677874219044177e-05
1.527930570834861194e-03,1.627827106296506846e-03,1.554411843843101382e+00,-4.563683559384188904e+00,1.645837876841189931e-05
1.555711126668222338e-03,1.655603904574980091e-03,1.554286051367423482e+00,-4.492835852256805040e+00,1.691352844696476798e-05
1.583491682501583482e-03,1.683380645607924055e-03,1.554162196974540722e+00,-4.424138908350051302e+00,1.737217223774891717e-05
1.611272238334944627e-03,1.711157329847816204e-03,1.554040222274025718e+00,-4.357495886273577312e+00,1.783425629993903137e-05
1.639052794168305771e-03,1.738933957740025106e-03,1.553920071484945042e+00,-4.292815689274910973e+00,1.829972841487933311e-05
1.666833350001666915e-03,1.766710529722940104e-03,1.553801691282203024e+00,-4.230012544448686462e+00,1.876853791358729003e-05
1.694613905835028059e-03,1.794487046228104453e-03,1.553685030654061050e+00,-4.169005618481229192e+00,1.924063560852615787e-05
1.722394461668389203e-03,1.822263507680345427e-03,1.553570040769864713e+00,-4.109718666274804200e+00,1.971597372933592192e-05
1.750175017501750347e-03,1.850039914497906592e-03,1.553456674857116360e+00,-4.052079709208775249e+00,2.019450586223898932e-05
1.777955573335111492e-03,1.877816267092575955e-03,1.553344888087104358e+00,-3.996020740156023265e+00,2.067618689286106047e-05
1.805736129168472636e-03,1.905592565869815205e-03,1.553234637468388746e+00,-3.941477452689414740e+00,2.116097295222941766e-05
1.833516685001833780e-03,1.933368811228886562e-03,1.553125881747499104e+00,-3.888388992190856097e+00,2.164882136573036394e-05
1.861297240835194707e-03,1.961145003562977680e-03,1.553018581316265578e+00,-3.836697726819851439e+00,2.213969060482548208e-05
1.889077796668555851e-03,1.988921143259325675e-03,1.552912698125260338e+00,-3.786349036513769750e+00,2.263354024134239949e-05
1.916858352501916996e-03,2.016697230699338126e-03,1.552808195602866315e+00,-3.737291118382127131e+00,2.313033090417028638e-05
1.944638908335277923e-03,2.044473266258711036e-03,1.552705038579545116e+00,-3.689474807025265424e+00,2.363002423820379947e-05
1.972419464168638850e-03,2.072249250307548959e-03,1.552603193216901545e+00,-3.642853408456717457e+00,2.413258286539100478e-05
2.000200020002000211e-03,2.100025183210478194e-03,1.552502626941189678e+00,-3.597382546440661688e+00,2.463797034775199368e-05
2.027980575835361572e-03,2.127801065326759104e-03,1.552403308380924551e+00,-3.553020020173274673e+00,2.514615115224481682e-05
2.055761131668722499e-03,2.155576897010396710e-03,1.552305207308305235e+00,-3.509725672341279967e+00,2.565709061736471175e-05
2.083541687502083427e-03,2.183352678610250407e-03,1.552208294584165760e+00,-3.467461266684168653e+00,2.617075492137070446e-05
2.111322243335444788e-03,2.211128410470139354e-03,1.552112542106206527e+00,-3.426190374269708183e+00,2.668711105204153226e-05
2.139102799168806149e-03,2.238904092928943948e-03,1.552017922760272617e+00,-3.385878267766710525e+00,2.720612677786981169e-05
2.166883355002167076e-03,2.266679726320709482e-03,1.551924410374464491e+00,-3.346491823065592452e+00,2.772777062060979896e-05
2.194663910835528003e-03,2.294455310974744585e-03,1.551831979675887485e+00,-3.307999427656918900e+00,2.825201182910004000e-05
2.222444466668889364e-03,2.322230847215718801e-03,1.551740606249859100e+00,-3.270370895231715203e+00,2.877882035428757404e-05
2.250225022502250725e-03,2.350006335363754098e-03,1.551650266501406916e+00,-3.233577386015440425e+00,2.930816682538542653e-05
2.278005578335611653e-03,2.377781775734521142e-03,1.551560937618907010e+00,-3.197591332390879337e+00,2.984002252709978286e-05
2.305786134168972580e-03,2.405557168639327770e-03,1.551472597539718112e+00,-3.162386369404232234e+00,3.037435937786737064e-05
2.333566690002333507e-03,2.433332514385206594e-03,1.551385224917683825e+00,-3.127937269783930940e+00,3.091114990904752623e-05
2.361347245835694435e-03,2.461107813275002602e-03,1.551298799092380998e+00,-3.094219883133507487e+00,3.145036724501715762e-05
2.389127801669055362e-03,2.488883065607455126e-03,1.551213300060003242e+00,-3.061211078988623768e+00,3.199198508412002135e-05
2.416908357502416289e-03,2.516658271677281542e-03,1.551128708445775883e+00,-3.028888693454426573e+00,3.253597768042489904e-05
2.444688913335777650e-03,2.544433431775257933e-03,1.551045005477806660e+00,-2.997231479162985490e+00,3.308231982625018617e-05
2.472469469169139011e-03,2.572208546188293251e-03,1.550962172962282670e+00,-2.966219058312008716e+00,3.363098683541485234e-05
2.500250025002499939e-03,2.599983615199510413e-03,1.550880193259933648e+00,-2.935831878565465569e+00,3.418195452717857463e-05
2.528030580835860866e-03,2.627758639088317860e-03,1.550799049263680063e+00,-2.906051171614455253e+00,3.473519921083574645e-05
2.555811136669222227e-03,2.655533618130483716e-03,1.550718724377399660e+00,-2.876858914212736096e+00,3.529069767093040232e-05
2.583591692502583588e-03,2.683308552598205610e-03,1.550639202495744717e+00,-2.848237791516017303e+00,3.584842715306108403e-05
2.611372248335944515e-03,2.711083442760178763e-03,1.550560467984944513e+00,-2.820171162567461920e+00,3.640836535024641557e-05
2.666933360002666804e-03,2.766633091224553198e-03,1.550405300790686169e+00,-2.765637998016829080e+00,3.753261542940169391e-05
2.722494471669389092e-03,2.822182565605694561e-03,1.550253106482757159e+00,-2.713138581147969131e+00,3.866548499169544166e-05
2.778055583336111380e-03,2.877731867933815222e-03,1.550103775213251156e+00,-2.662560957149030738e+00,3.980680886784051658e-05
2.833616695002833669e-03,2.933281000189202643e-03,1.549957203126561156e+00,-2.613801253268795310e+00,4.095642799186248299e-05
2.889177806669555523e-03,2.988829964304065556e-03,1.549813291930627557e+00,-2.566762961552387257e+00,4.211418906815110608e-05
2.944738918336277812e-03,3.044378762164293411e-03,1.549671948505907615e+00,-2.521356296709654554e+00,4.327994426233479006e-05
3.000300030003000100e-03,3.099927395611132980e-03,1.549533084548145645e+00,-2.477497620083706664e+00,4.445355091388187229e-05
3.055861141669722388e-03,3.155475866442789077e-03,1.549396616241495384e+00,-2.435108921908197388e+00,4.563487126855086056e-05
3.111422253336444677e-03,3.211024176415948079e-03,1.549262463958949843e+00,-2.394117355080250142e+00,4.682377222900299473e-05
3.166983365003166531e-03,3.266572327247237693e-03,1.549130551987381033e+00,-2.354454814561413478e+00,4.802012512205993419e-05
3.222544476669888820e-03,3.322120320614614306e-03,1.549000808274801244e+00,-2.316057557276264944e+00,4.922380548123910752e-05
3.278105588336611108e-03,3.377668158158691342e-03,1.548873164197724250e+00,-2.278865858027620650e+00,5.043469284333197390e-05
3.333666700003333396e-03,3.433215841484008220e-03,1.548747554346734390e+00,-2.242823697505556435e+00,5.165267055790846820e-05
3.375337533753374787e-03,3.474876503717472687e-03,1.548654644277638770e+00,-2.216514700433085405e+00,5.257138684602902809e-05
3.417008367503416612e-03,3.516537080736232938e-03,1.548562818038126565e+00,-2.190801658450888034e+00,5.349397382916409529e-05
3.458679201253458436e-03,3.558197573179604396e-03,1.548472051215509238e+00,-2.165664506186693927e+00,5.442038634643028188e-05
3.500350035003500261e-03,3.599857981676759123e-03,1.548382320214478192e+00,-2.141084070264711592e+00,5.535058025423158270e-05
3.542020868753542086e-03,3.641518306846976485e-03,1.548293602220967013e+00,-2.117042020234177535e+00,5.628451239219783603e-05
3.583691702503583477e-03,3.683178549299877345e-03,1.548205875167994350e+00,-2.093520822704804996e+00,5.722214055062913420e-05
3.625362536253624868e-03,3.724838709635661712e-03,1.548119117703351977e+00,-2.070503698447085039e+00,5.816342343936368325e-05
3.667033370003666692e-03,3.766498788445329492e-03,1.548033309159024595e+00,-2.047974582236065544e+00,5.910832065799210622e-05
