Ca,theta_min_deg,delta_x_cl
0.0,29.999999999999996,0.0
0.001,28.549365665141508,-8.527622463860851e-05
0.0017000000000000001,26.708312571393925,-0.00015052163288453713
0.00219,25.00211157532893,-0.0002009009881245305
0.002533,23.49675311481441,-0.00024011110865229668
0.0027731,22.20204836367653,-0.0002708084541338529
0.00294117,21.108411216560523,-0.0002949152686637646
0.003058819,20.20048970515732,-0.00031384013190427495
0.003176468,19.10488477865297,-0.0003355315772739509
0.003276468,17.916057563353323,-0.00035786681485250327
0.0033764679999999997,16.162794438767225,-0.0003890089026370447
0.003426468,14.39132511025659,-0.000419019377359664
0.003432718,13.825757954545116,-0.00042843636280398556
0.0034342805,13.517881031217568,-0.0004335514383413397
