theta_rad,theta_deg,viscosity_ratio,Q,log_c,c,force_intercept,slope_expected,slope_fitted,slope_relative_error,plateau_standard_deviation,plateau_half_drift,fit_lower,fit_upper,inner_radius,outer_radius,radial_cells,angular_cells_a,angular_cells_b,velocity_dofs,pressure_dofs,interface_constraints,linear_system_backward_error,constraint_relative_error,generator_version,generator_source_sha256,mesh_delta_Q,inner_radius_delta_Q,outer_radius_delta_Q,fit_window_delta_Q,plateau_half_drift_Q,max_linear_system_backward_error,max_constraint_relative_error,estimated_error_Q,log10_viscosity_ratio,converged
0.545415391248228,31.25,0.011547819846894581,-0.6542856225560942,0.9979972491220404,2.712843235032292,-8.776643838979435,5.305398124308388,5.305400779051074,5.003851970553086e-07,9.805860011322492e-05,6.534018501369587e-06,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,1.5252333097923225e-16,3.773376024438578e-15,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0002073832260247599,1.38669062899055e-08,1.1059385673917177e-07,7.931894082102708e-05,1.231579298720652e-06,1.5252333097923225e-16,3.773376024438578e-15,0.0002073832260247599,-1.9375,True
0.545415391248228,31.25,0.01539926526059492,-0.6534387489461935,0.9971503755121396,2.710546772232867,-8.785230602574952,5.313308768271066,5.313311512602249,5.165013559071951e-07,9.823596867438971e-05,6.847118175556943e-06,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,4.3525441480338667e-17,8.148577574133253e-17,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0002077021423159131,1.2964018969441327e-08,1.1018624235248353e-07,7.925074255465958e-05,1.2886731176710767e-06,1.2185777120010426e-16,8.148577574133253e-17,0.0002077021423159131,-1.8125,True
0.545415391248228,31.25,0.023713737056616554,-0.6516199396433404,0.9953315662092865,2.70562128516638,-8.803731295446202,5.330361473685844,5.330364412922293,5.51414095051328e-07,9.8619082429345e-05,7.528413679125379e-06,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,9.984848654759453e-17,8.905119835161471e-16,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00020838792801392003,1.1029376523197243e-08,1.0939926942121758e-07,7.910425935597765e-05,1.4123645678235067e-06,9.984848654759453e-17,8.905119835161471e-16,0.00020838792801392003,-1.625,True
0.545415391248228,31.25,0.042169650342858224,-0.6476279341304956,0.9913395606964417,2.694841959958191,-8.844620982185557,5.3680936083747195,5.368096979796721,6.280482880427485e-07,9.946891522571362e-05,9.039216601891553e-06,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,6.69047903270573e-17,2.0639602894254354e-17,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00020990007849919223,7.1646353294596565e-09,1.0742935185881208e-07,7.878449830833745e-05,1.6838783488778108e-06,1.3811075798656894e-16,2.0639602894254354e-17,0.00020990007849919223,-1.375,True
0.545415391248228,31.25,0.07498942093324558,-0.6406785781820887,0.9843902047480348,2.676179465219598,-8.916735639786834,5.434785190934102,5.434789330031986,7.615936488125641e-07,0.00010097789342496031,1.1722502442523819e-05,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,8.546627912428938e-17,2.6094686809189688e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00021255433605738006,3.1253044596724067e-10,1.0454451615515836e-07,7.823351089841779e-05,2.1569394245937103e-06,1.0284152219308407e-16,4.0764241839026146e-18,0.00021255433605738006,-1.125,True
0.545415391248228,31.25,0.1333521432163324,-0.6287681471065241,0.9724797736724702,2.644494082008522,-9.043105595123205,5.552113486003586,5.5521189879497825,9.909642895156168e-07,0.00010365360399288983,1.6486210181909655e-05,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,7.559239082816885e-17,2.574025188672851e-16,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00021716878401667472,1.1818998446599949e-08,9.916099985574078e-08,7.730673302708269e-05,2.9693575650912056e-06,7.559239082816885e-17,2.574025188672851e-16,0.00021716878401667472,-0.875,True
0.545415391248228,31.25,0.23713737056616552,-0.6088741424995123,0.9525857690654584,2.5924043591088,-9.262039687262925,5.756845388088355,5.756853304519588,1.3751335494749384e-06,0.00010838322046782471,2.49249359498549e-05,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,9.377206922144516e-17,1.273295451227141e-14,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00022506171384817364,3.1575188907950746e-08,9.02695300730727e-08,7.581313324722672e-05,4.329617050586031e-06,9.377206922144516e-17,2.475381385346918e-14,0.00022506171384817364,-0.625,True
0.545415391248228,31.25,0.4216965034285822,-0.5769561821626754,0.9206678087286215,2.5109666756181506,-9.633752409852049,6.109080593881872,6.109092762355223,1.9918665605800356e-06,0.00011668357071553673,3.9783215843414155e-05,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,1.5919415543999074e-16,1.7577299774579737e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00023821075345487053,6.225670179382803e-08,7.558797610052181e-08,7.358390084122313e-05,6.5121445415626505e-06,1.902354133052483e-16,8.719339467600647e-15,0.00023821075345487053,-0.375,True
0.545415391248228,31.25,0.7498942093324559,-0.5285824853485728,0.8722941119145189,2.3923929800537893,-10.242684340118293,6.700773061509065,6.7007925950841525,2.9151226146328924e-06,0.00013101242168223575,6.550701292340477e-05,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,9.710917319787115e-17,1.6167252678996838e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00025923724633036827,1.0563224717152764e-07,5.2991776078314956e-08,7.070509269579972e-05,9.776038126062441e-06,9.710917319787115e-17,3.3141312702655184e-14,0.00025923724633036827,-0.125,True
0.5890486225480862,33.75,0.011547819846894581,-0.5690809705621296,0.9813207247463074,2.6679775800709384,-7.658838378944015,4.881098249633482,4.881109400976838,2.2845971923146635e-06,0.00011614488131449858,3.6990711572926216e-05,100000.0,10000000.0,1e-08,100000000.0,480,8,34,165292,21164,2877,1.2926682679950205e-16,3.57176419217267e-16,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00023364924271085385,1.7272880836749493e-07,1.50731909398516e-07,6.810506148213769e-05,7.578358328620781e-06,1.2926682679950205e-16,1.6038856880579277e-14,0.00023364924271085385,-1.9375,True
