theta_rad,theta_deg,viscosity_ratio,Q,log_c,c,force_intercept,slope_expected,slope_fitted,slope_relative_error,plateau_standard_deviation,plateau_half_drift,fit_lower,fit_upper,inner_radius,outer_radius,radial_cells,angular_cells_a,angular_cells_b,velocity_dofs,pressure_dofs,interface_constraints,linear_system_backward_error,constraint_relative_error,generator_version,generator_source_sha256,mesh_delta_Q,inner_radius_delta_Q,outer_radius_delta_Q,fit_window_delta_Q,plateau_half_drift_Q,max_linear_system_backward_error,max_constraint_relative_error,estimated_error_Q,log10_viscosity_ratio,converged
0.5235987755982988,30,0.01,-0.699271391059302,1.0061242104993566,2.7349802386718935,-9.413763985253217,5.539882584255602,5.5399036585217285,3.8040997811794597e-06,0.0001626266353639945,7.129613457301787e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,4.0634467287299906e-17,1.242707331336386e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0001499841233714161,2.723060139597777e-07,1.5939610653603609e-07,7.570738157314238e-05,1.2869611131405952e-05,7.313395879115721e-17,1.242707331336386e-18,0.0001499841233714161,-2,True
0.5235987755982988,30,0.01333521432163324,-0.698533674830814,1.0053864942708686,2.7329633434048866,-9.421142916956454,5.546632990891315,5.546654180358266,3.820239591556529e-06,0.00016282500407039784,7.170007571133397e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,1.2584059136094915e-16,2.4181324800556656e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00015021326929542944,2.729745920415638e-07,1.5888765170224417e-07,7.564315036368008e-05,1.2926774825210157e-05,1.2584059136094915e-16,2.4483472169411987e-18,0.00015021326929542944,-1.875,True
0.5235987755982988,30,0.01778279410038923,-0.6975530280259947,1.0044058474660493,2.730284585306946,-9.430971246145404,5.555626887904786,5.555648230765982,3.841665688897322e-06,0.0001630893954833614,7.223783518206517e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,3.243168474723568e-17,1.2395559298684548e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00015051820084832634,2.739593669698337e-07,1.5819584908705053e-07,7.555789764746024e-05,1.3002643381133985e-05,5.674917676019795e-17,1.2395559298684548e-18,0.00015051820084832634,-1.75,True
0.5235987755982988,30,0.03162277660168379,-0.6945239768265055,1.00137679626656,2.7220269262586694,-9.461470169485363,5.583556384492563,5.583578205614083,3.908104444061422e-06,0.00016391217600475545,7.39147367241344e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,4.844693810791195e-17,1.2340058637428326e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00015146161811974146,2.766768050221913e-07,1.5597956681823177e-07,7.52950723130752e-05,1.3237931460568892e-05,4.844693810791195e-17,5.18247551440237e-18,0.00015146161811974146,-1.5,True
0.5235987755982988,30,0.05623413251903491,-0.6892199655007394,0.996072784940794,2.707627485768192,-9.515389835927564,5.633008151846521,5.633030823568299,4.024798325508172e-06,0.0001653740173572669,7.689700796298382e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,3.206395889564848e-17,1.2243035970972104e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0001531201681146399,2.816038924269293e-07,1.5223161620170345e-07,7.483733765756284e-05,1.36511444489525e-05,4.809062380901748e-17,1.2243035970972104e-18,0.0001531201681146399,-1.25,True
0.5235987755982988,30,0.1,-0.6800386899884536,0.9868915094285082,2.6828817842182437,-9.61028352253632,5.720275122117794,5.720299308066224,4.228109297788052e-06,0.00016797004288819382,8.220610966347408e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,5.54040588041667e-17,1.2075604974017193e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00015601105461660048,2.900408586636871e-07,1.4552564930880862e-07,7.405259388248986e-05,1.4371006273040806e-05,7.122591886201532e-17,1.2075604974017193e-18,0.00015601105461660048,-1,True
0.5235987755982988,30,0.1778279410038923,-0.6644519580192576,0.9713047774593122,2.6413886362772163,-9.775946035206244,5.873372306185323,5.8733991855037555,4.5764710683293686e-06,0.0001725729702332477,9.164897618774148e-05,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,4.646216133964201e-17,1.1793014040786728e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00016097687415816964,3.044539458318951e-07,1.3421279709824319e-07,7.274503047871583e-05,1.5604148930117162e-05,4.646216133964201e-17,1.1793014040786728e-18,0.00016097687415816964,-0.75,True
0.5235987755982988,30,0.31622776601683794,-0.6388140125293422,0.9456668319693968,2.574529584947499,-10.061044667821294,6.139222993519013,6.13925466053087,5.158146542338926e-06,0.00018071186202330396,0.00010843356864853604,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,3.732000620227416e-17,1.133346515033926e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00016930301144046922,3.281340112959441e-07,1.1525409360224614e-07,7.06717903127263e-05,1.766242548332354e-05,4.104747127997884e-17,1.133346515033926e-18,0.00016930301144046922,-0.5,True
0.5235987755982988,30,0.5623413251903491,-0.5986171958511186,0.9054700152911732,2.4730940419454774,-10.539399655425296,6.592822648710482,6.592862782018429,6.087424170964084e-06,0.0001950103365626732,0.00013810961558746726,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,3.5161652069953235e-17,1.0629515755407067e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0001827414603836619,3.647834736497657e-07,8.511232585384221e-08,6.766568091087777e-05,2.094848033178637e-05,3.5161652069953235e-17,9.556344346986278e-18,0.0001827414603836619,-0.25,True
0.5235987755982988,30,1.0,-0.5395227805045968,0.8463755999446514,2.3311823843207655,-11.306767108440608,7.344332446145864,7.344387293829391,7.468028432766616e-06,0.00021975195795689186,0.00018966416337207193,100000.0,10000000.0,1e-08,100000000.0,480,7,35,165292,21164,2877,6.42144886120558e-17,9.64417493333892e-19,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00020324451100939278,4.160418527465737e-07,4.1350480151081115e-08,6.399893558461933e-05,2.5824561287609373e-05,6.42144886120558e-17,9.64417493333892e-19,0.00020324451100939278,0,True
