theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
57.5,-0.875,0.065772009883979243,0.065814655749356646,4.2645865377402559e-05,0.00014522251859783175,0.00020367690477570002,0.00039154528875093433,6,5,True
57.5,-0.625,0.0592179135146087,0.059248929603554761,3.1016088946060616e-05,0.00015495312465063638,0.00022031850692320269,0.00040628772051989968,6,6,True
57.5,-0.375,0.05540714107562239,0.055409163603157091,2.0225275347007798e-06,0.00016890466511709779,0.00023064909145442951,0.00040157628410622808,6,7,True
57.5,-0.125,0.062755682693681591,0.062785594211192536,2.9911517510944341e-05,0.00018691555537964089,0.00037459277050254142,0.00059141984339312664,6,8,True
62.5,-1.9375,0.19786794444620159,0.197877657720158,9.713273956407642e-06,0.00011239337422530582,0.00018204254049993684,0.00030414918868165031,7,0,True
62.5,-1.8125,0.19651264869188667,0.19652303816380878,1.0389471922112037e-05,0.00011284333702654692,0.00013441095059291738,0.00025764375954157633,7,1,True
62.5,-1.625,0.19366438550433451,0.19367906016188396,1.4674657549451631e-05,0.00011380008692407628,0.00017676759329576436,0.0003052423377692923,7,2,True
62.5,-1.375,0.18770231575864071,0.18773003332955271,2.7717570911994782e-05,0.00011585628076360432,0.00016603673885242233,0.00030961059052802143,7,3,True
62.5,-1.125,0.17821693704373953,0.17825981962702875,4.2882583289216569e-05,0.00011929928987397531,0.00017440108042308239,0.00033658295358627427,7,4,True
62.5,-0.875,0.16434324921249854,0.16438723981608758,4.3990603589033617e-05,0.00012483680245867212,0.00018699388950443001,0.00035582129555213575,7,5,True
62.5,-0.625,0.14689461026591943,0.14690699163138515,1.2381365465718996e-05,0.00013321673460997552,0.00020441043060419323,0.00035000853067988774,7,6,True
62.5,-0.375,0.13080768160136513,0.1308250121795422,1.7330578177071621e-05,0.0001448483547352719,0.00021476617035173638,0.00037694510326407991,7,7,True
62.5,-0.125,0.12734780021953851,0.12732392648491306,2.3873734625451393e-05,0.0001592203027092065,0.00034900557506615707,0.00053209961240081502,7,8,True
67.5,-1.9375,0.31368190636347049,0.31368992196713963,8.015603669142557e-06,9.878564176890592e-05,0.00019302266170117391,0.00029982390713922241,8,0,True
67.5,-1.8125,0.31127288968358602,0.31128198943745783,9.0997538718107229e-06,9.933325825028927e-05,0.00014256342007346604,0.00025099643219556603,8,1,True
