theta_rad,Qi_direct,Qi_interpolated,abs_interpolation_error_Qi,estimated_error_Qi,spacing,radius,relative_residual,method,generator_sha256
0.025000000000000001,-4.7873960201281465,-4.7873944626664713,1.5574616751834469e-06,6.8858278456929156e-06,0.025000000000000001,40,2.960841470591624e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.0625,-3.8705937112995961,-3.8705918390202663,1.8722793297953899e-06,4.2363611942874968e-06,0.025000000000000001,40,5.1837407469454511e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.087499999999999994,-3.5335402375434861,-3.5335414004969565,1.1629534704127309e-06,2.375514690955427e-05,0.050000000000000003,40,5.1863355514472083e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.125,-3.1756214284358726,-3.1756120217085817,9.4067272908837651e-06,1.6924770148474266e-05,0.050000000000000003,40,5.191858760221051e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.17499999999999999,-2.8368030154728423,-2.8368050169304873,2.0014576449511878e-06,1.2075967867897219e-05,0.050000000000000003,40,7.2832054885130213e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.22500000000000001,-2.5823485451389812,-2.5823497494179288,1.2042789476751636e-06,9.372425230136372e-06,0.050000000000000003,40,5.3653036605437383e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.27500000000000002,-2.3777330524489551,-2.3777338547153137,8.022663586793044e-07,7.6479003539020596e-06,0.050000000000000003,40,9.0470889137804008e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.32499999999999996,-2.2059157720582667,-2.2059163439483207,5.7189005397972892e-07,6.4505789629798471e-06,0.050000000000000003,40,1.0735467254774368e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.375,-2.0572167464390296,-2.0572171742327332,4.2779370357237667e-07,5.5696023948392792e-06,0.050000000000000003,40,7.9202611694599776e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.42500000000000004,-1.9256007327590461,-1.9256010645274346,3.3176838853954393e-07,4.8933425762509586e-06,0.050000000000000003,40,8.3808196934374015e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.47499999999999998,-1.8070445327050773,-1.8070447973488863,2.6464380908919338e-07,4.3571757923910326e-06,0.050000000000000003,40,1.0149957919387989e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.52500000000000002,-1.6987262890002142,-1.6987265049451694,2.1594495525079083e-07,3.921099769543801e-06,0.050000000000000003,40,1.2910143835095521e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.57499999999999996,-1.5985852060123795,-1.598585385568732,1.7955635245314738e-07,3.5590288209874643e-06,0.050000000000000003,40,1.424875569507776e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
