theta_rad,Qi,Q_chan,log_c,c,spacing,radius,series_terms,coarse_Qi,wide_Qi,discretisation_delta_Qi,domain_delta_Qi,estimated_error_Qi,relative_residual,method,generator_sha256
0.050000000000000003,-4.0939563212975019,-3.0939563212975019,1.0978073463491094,2.9975861446804828,0.025000000000000001,40,3000,-4.0939615886866649,-4.0939563212975019,5.2673891630661274e-06,0,5.2673891630661274e-06,5.3308475096649444e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.074999999999999997,-3.6880044064594757,-2.6880044064594757,1.0967995651695936,2.9945667554772499,0.025000000000000001,40,3000,-3.6880079377935675,-3.6880044064594624,3.5313340918108338e-06,1.3322676295501878e-14,3.5313340918108338e-06,6.2219156244192453e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.10000000000000001,-3.3996431057228502,-2.3996431057228502,1.095390790153584,2.990351054832455,0.050000000000000003,40,3000,-3.3996641593790033,-3.3996431057228436,2.1053656153124933e-05,6.6613381477509392e-15,2.1053656153124933e-05,4.1503669742267032e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.14999999999999999,-2.9922254361812697,-1.9922254361812697,1.0913526347707387,2.9782999012154172,0.050000000000000003,40,3000,-2.9922395365065886,-2.9922254361812741,1.410032531889982e-05,4.4408920985006262e-15,1.410032531889982e-05,7.1268123624301893e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.20000000000000001,-2.701801453837815,-1.701801453837815,1.0856879632052587,2.9614765049452179,0.050000000000000003,40,3000,-2.701812009776694,-2.7018014538378203,1.055593887899775e-05,5.3290705182007514e-15,1.055593887899775e-05,7.1435406773077546e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.25,-2.4751170109250347,-1.4751170109250347,1.0783841952272448,2.9399253657447058,0.050000000000000003,40,3000,-2.4751254354192294,-2.4751170109250276,8.4244941946920449e-06,7.1054273576010019e-15,8.4244941946920449e-06,5.9709769754650946e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.29999999999999999,-2.2884433431813274,-1.2884433431813274,1.0694252799640998,2.9137044543533537,0.050000000000000003,40,3000,-2.28845034299398,-2.2884433431813305,6.9998126526193971e-06,3.1086244689504383e-15,6.9998126526193971e-06,1.0787703087242414e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.34999999999999998,-2.1291142385201098,-1.1291142385201098,1.05879142486407,2.8828847002027547,0.050000000000000003,40,3000,-2.1291202175395632,-2.1291142385201089,5.9790194533171359e-06,8.8817841970012523e-16,5.9790194533171359e-06,1.3694641817684069e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.40000000000000002,-1.9895599840710327,-0.98955998407103274,1.0464589009460135,2.8475497878531599,0.050000000000000003,40,3000,-1.9895651947503121,-1.9895599840710019,5.2106792793882306e-06,3.0864200084579352e-14,5.2106792793882306e-06,1.0285779148130682e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.45000000000000001,-1.8648883208078435,-0.8648883208078435,1.0323998378471693,2.8077960109373823,0.050000000000000003,40,3000,-1.864892931472298,-1.8648883208078479,4.6106644544519071e-06,4.4408920985006262e-15,4.6106644544519071e-06,7.5311955636418612e-16,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.5,-1.7517486753150731,-0.75174867531507306,1.0165819889297589,2.7637321344598318,0.050000000000000003,40,3000,-1.7517528038164956,-1.7517486753150535,4.1285014225067584e-06,1.9539925233402755e-14,4.1285014225067584e-06,1.5314635246957789e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.55000000000000004,-1.6477404847667365,-0.64774048476673651,0.9989684583193158,2.715479253188259,0.050000000000000003,40,3000,-1.6477442168401146,-1.6477404847667305,3.7320733781154303e-06,5.9952043329758453e-15,3.7320733781154303e-06,1.0181760649438438e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.59999999999999998,-1.5510799226731131,-0.55107992267311312,0.97951738408977307,2.663170643205111,0.050000000000000003,40,3000,-1.5510833226450251,-1.5510799226730774,3.3999719120103578e-06,3.5749181392930041e-14,3.3999719120103578e-06,1.3996706392059906e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
